name,size,address,address_clean,number_and_street,City,State,zip,link,lat,lon,confidence,confidence_city_level,confidence_street_level,confidence_building_level,manually checked,manually edited
The Langston,204,"1840 7th Street NW
 Washington, DC 20001","1840 7th Street NW, Washington, DC 20001",1840 7th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1007/The_Langston,38.915345,-77.022155,1,1,1,1,,
The Topanga,4,"1631 13th Street NW
 Washington, DC 20009","1631 13th Street NW, Washington, DC 20009",1631 13th Street NW,Washington,District of Columbia,20009,https://dc.urbanturf.com/pipeline/1203/The_Topanga,38.912043,-77.029308,1,1,1,1,,
Brookland Lanes,337,"3726 10th Street NE
 Washington, DC 20017","3726 10th Street NE, Washington, DC 20017",3726 10th Street NE,Washington,District of Columbia,20017,https://dc.urbanturf.com/pipeline/1098/Brookland_Lanes,38.93596101,-76.99308631,1,1,1,1,,
Modera H Street,325,"801 17th Street NE
 Washington, DC 20002","801 17th Street NE, Washington, DC 20002",801 17th Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1189/Modera_H_Street,38.900317,-76.978936,1,1,1,1,,
The Geneva,500,"1825-1875 Connecticut Avenue NW
 Washington, DC 20009","1825-1875 Connecticut Avenue NW, Washington, DC 20009",1825-1875 Connecticut Avenue NW,Washington,District of Columbia,20009,https://dc.urbanturf.com/pipeline/1090/The_Geneva,38.9150452,-77.0459577,0.9,1,1,0.9,,
Cyprus on Vine,35,"225 Vine Street NW
 Washington, DC 20012","225 Vine Street NW, Washington, DC 20012",225 Vine Street NW,Washington,District of Columbia,20012,https://dc.urbanturf.com/pipeline/894/Cyprus_on_Vine,38.97395642,-77.01582585,1,1,1,1,,
45 Q,60,"45 Q Street SW
 Washington, DC 20024","45 Q Street SW, Washington, DC 20024",45 Q Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/1046/45_Q,38.8712403,-77.01037937,1,1,1,1,,
301 M,187,"301 M Street SW
 Washington, DC 20024","301 M Street SW, Washington, DC 20024",301 M Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/550/301_M,38.876378,-77.0163697,1,1,1,1,,
The Claire,26,"4111 Connecticut Avenue NW
 Washington, DC 20008","4111 Connecticut Avenue NW, Washington, DC 20008",4111 Connecticut Avenue NW,Washington,District of Columbia,20008,https://dc.urbanturf.com/pipeline/1051/The_Claire,38.94265545,-77.06224554,1,1,1,1,,
3836-3848 South Capitol Street SE,106,"3836-3848 South Capitol Street SE
 Washington, DC 20032","3836-3848 South Capitol Street SE, Washington, DC 20032",3836-3848 South Capitol Street SE,Washington,District of Columbia,20032,https://dc.urbanturf.com/pipeline/939/38363848_South_Capitol_Street_SE,38.83406325,-77.00793804,0.9,1,1,0.9,,
Parcel B at Audi Field,455,"100 S Street SW
 Washington, DC 20024","100 S Street SW, Washington, DC 20024",100 S Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/902/Parcel_B_at_Audi_Field,38.86824631,-77.00939352,0.5,1,1,0,,
Weaver's Row,115,"3220 Prospect Street NW
 Washington, DC 20007","3220 Prospect Street NW, Washington, DC 20007",3220 Prospect Street NW,Washington,District of Columbia,20007,https://dc.urbanturf.com/pipeline/1031/Weavers_Row,38.9057263,-77.063868,1,1,1,1,,
3300 Whitehaven Street,265,"3300 Whitehaven Street NW
 Washington, DC 20007","3300 Whitehaven Street NW, Washington, DC 20007",3300 Whitehaven Street NW,Washington,District of Columbia,20007,https://dc.urbanturf.com/pipeline/1024/3300_Whitehaven_Street,38.917119,-77.067295,1,1,1,1,,
101 Tingey Street,127,"101 Tingey Street
 Washington, DC 20003","101 Tingey Street, Washington, DC 20003",101 Tingey Street,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/1247/101_Tingey_Street,38.875075,-77.003216,0.9,1,0.9,0.9,,
Paxton Apartments,285,"1611 Benning Road NE
 Washington, DC 20002","1611 Benning Road NE, Washington, DC 20002",1611 Benning Road NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/501/Paxton_Apartments,38.8995028,-76.9810615,1,1,1,1,,
Northeast Heights,1500,"322 40th Street NE
 Washington, DC 20019","322 40th Street NE, Washington, DC 20019",322 40th Street NE,Washington,District of Columbia,20019,https://dc.urbanturf.com/pipeline/931/Northeast_Heights,38.893132,-76.9474549,1,1,1,1,,
Brass Knob Warehouse Redevelopment,31,"2329 Champlain Street NW
 Washington, DC 20009","2329 Champlain Street NW, Washington, DC 20009",2329 Champlain Street NW,Washington,District of Columbia,20009,https://dc.urbanturf.com/pipeline/1103/Brass_Knob_Warehouse_Redevelopment,38.9211992,-77.0409156,1,1,1,1,,
Cantata,351,"801 3rd Street NW
 Washington, DC 20001","801 3rd Street NW, Washington, DC 20001",801 3rd Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/702/Cantata,38.900388,-77.01507,1,1,1,1,,
St. Elizabeths East: Parcel 13,421,"1100 Alabama Ave SE
 Washington, DC 20032","1100 Alabama Ave SE, Washington, DC 20032",1100 Alabama Ave SE,Washington,District of Columbia,20032,https://dc.urbanturf.com/pipeline/1164/St_Elizabeths_East_Parcel_13,38.8483075,-76.9869176,1,1,1,1,,
