name,size,address,address_clean,number_and_street,City,State,zip,link,lat,lon,confidence,confidence_city_level,confidence_street_level,confidence_building_level,manually checked,manually edited
2009 18th Street NW,31,"2009 18th Street NW
 Washington, DC 20009","2009 18th Street NW, Washington, DC 20009",2009 18th Street NW,Washington,District of Columbia,20009,https://dc.urbanturf.com/pipeline/1276/2009_18th_Street_NW,38.91751795,-77.04131946,1,1,1,1,,
The Arbor at Takoma,36,"218 Cedar Street NW
 Washington, DC 20012","218 Cedar Street NW, Washington, DC 20012",218 Cedar Street NW,Washington,District of Columbia,20012,https://dc.urbanturf.com/pipeline/854/The_Arbor_at_Takoma,38.9753663,-77.01602334,1,1,1,1,,
1208 M Street,14,"1208 M Street NW
 Washington, DC 20005","1208 M Street NW, Washington, DC 20005",1208 M Street NW,Washington,District of Columbia,20005,https://dc.urbanturf.com/pipeline/1223/1208_M_Street,38.905414,-77.028633,1,1,1,1,,
The Rivi̬re,20,"2305 Nicholson Street SE
 Washington, DC 20020","2305 Nicholson Street SE, Washington, DC 20020",2305 Nicholson Street SE,Washington,District of Columbia,20020,https://dc.urbanturf.com/pipeline/1214/The_Rivire,38.873142,-76.9732854,1,1,1,1,,
Claret,127,"950 3rd Street NW
 Washington, DC 20001","950 3rd Street NW, Washington, DC 20001",950 3rd Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1213/Claret,38.90193311,-77.0152824,1,1,1,1,,
Cotton Annex Redevelopment,564,"300 12th Street SW
 Washington, DC 20024","300 12th Street SW, Washington, DC 20024",300 12th Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/992/Cotton_Annex_Redevelopment,38.885543,-77.0277485,1,1,1,1,,
BEARDEN ARTS ON H,20,"1341 H Street NE
 Washington, DC 20002","1341 H Street NE, Washington, DC 20002",1341 H Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/604/BEARDEN_ARTS_ON_H,38.9000327,-76.98680213,1,1,1,1,,
1447 Maryland Avenue NE,9,"1447 Maryland Avenue NE
 Washington, DC 20002","1447 Maryland Avenue NE, Washington, DC 20002",1447 Maryland Avenue NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/892/1447_Maryland_Avenue_NE,38.89959085,-76.98392632,1,1,1,1,,
Barracks View,1-,"733 8th Street SE
 Washington, DC 20003","733 8th Street SE, Washington, DC 20003",733 8th Street SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/1170/Barracks_View,38.88009575,-76.99528045,1,1,1,1,,
The Yards Phase II,1200,"3rd Street SE & Tingey Street SE
 Washington, DC 20003","3rd Street SE & Tingey Street SE, Washington, DC 20003",3rd Street SE & Tingey Street SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/1013/The_Yards_Phase_II,38.875018,-77.002402,0.9,1,0.9,,,
